epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0831568,0.0591194,0,0,2366,1569,1798,0.584288,0.601309,0.568204,0.544052,0.156752,0.0315544,0.0154083,0,0,0.00333036,0.00333036,0.0700268,0.453479,0.516781,0.289058,0.41733,0.440156,0.544055,0.515102,0.669135,0.810871,0.991065
1,0.0563696,0.0222172,0,0,2952,1128,1212,0.716184,0.723585,0.708934,0.743301,0.290663,0.0276376,0.0134257,0,0,0.00665958,0.00665958,0.0400227,0.141543,0.125187,0.166397,0.0682255,0.177521,0.495144,0.276776,0.383281,0.621201,0.997251
2,0.0503167,0.0198475,0,0,2897,845,1267,0.732882,0.774232,0.695725,0.759737,0.321585,0.0260931,0.0129056,0,0,0.00997238,0.00997238,0.0100021,0.0990237,0.097451,0.100102,0.00991753,0.145745,0.418119,0.226712,0.333216,0.552435,0.991065
3,0.0444667,0.0182284,0,0,2919,731,1245,0.747154,0.799802,0.701009,0.765727,0.314042,0.0262839,0.0127189,0,0,0.0099446,0.0099446,0.0099446,0.101111,0.110936,0.0771371,0.00250062,0.133573,0.434617,0.227529,0.346904,0.564655,0.99244
4,0.040373,0.0171189,0,0,2895,868,1269,0.730416,0.769336,0.695245,0.753911,0.308118,0.0266142,0.0135414,0,0,0.0099446,0.0099446,0.0099446,0.122612,0.137811,0.0914978,0.00119282,0.15244,0.377507,0.21626,0.354975,0.585785,0.980743
5,0.0380206,0.0164357,0,0,2828,696,1336,0.735737,0.802605,0.679155,0.736536,0.315175,0.0263634,0.0149429,0,0,0.00990166,0.00990166,0.00990166,0.0984367,0.105093,0.0916696,0.00027187,0.136872,0.370685,0.211162,0.341403,0.572117,0.973865
6,0.0366117,0.0159474,0,0,2854,701,1310,0.739504,0.802884,0.685399,0.750431,0.334275,0.0256152,0.014297,0,0,0.00984667,0.00984667,0.00984667,0.0742907,0.0767342,0.0721213,0.000484493,0.116565,0.379903,0.196413,0.319175,0.55505,0.98416
7,0.0356248,0.0155252,0,0,2795,736,1369,0.726392,0.791541,0.671152,0.718458,0.317704,0.0260603,0.0150549,0,0,0.00977975,0.00977975,0.00977975,0.0849623,0.0918707,0.0689507,0.000254177,0.15002,0.494134,0.249679,0.327613,0.58405,0.980756
8,0.0339984,0.0149817,0,0,2781,767,1383,0.721174,0.783807,0.66781,0.715577,0.313255,0.0261724,0.0156374,0,0,0.00970111,0.00970111,0.00970111,0.0914815,0.103732,0.0728029,0.000456378,0.143034,0.473461,0.238495,0.340799,0.57763,0.973883
9,0.0334008,0.0146733,0,0,2925,792,1239,0.742312,0.78697,0.70245,0.750273,0.318493,0.0260127,0.0147966,0,0,0.00961095,0.00961095,0.00961095,0.0935237,0.0998698,0.0807804,0.000606006,0.126418,0.377052,0.2004,0.287214,0.596251,0.970447
