epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0817139,0.0590071,0,0,2563,1061,1601,0.658211,0.707274,0.615514,0.675743,0.22656,0.0293815,0.0155513,0,0,0.00333036,0.00333036,0.0700268,0.257061,0.275695,0.22619,0.12,0.271336,0.499356,0.363838,0.514571,0.713202,0.998625
1,0.0559281,0.0221448,0,0,2829,1241,1335,0.68717,0.695125,0.679395,0.716406,0.254225,0.0282436,0.0127469,0,0,0.00665958,0.00665958,0.0400227,0.161097,0.163994,0.150444,0.00761378,0.205018,0.402314,0.289362,0.365942,0.597943,0.994502
2,0.0500526,0.0197423,0,0,2894,841,1270,0.732749,0.774832,0.695001,0.761374,0.329676,0.0264152,0.0131964,0,0,0.00997238,0.00997238,0.0100021,0.0791442,0.0838215,0.0672082,0.00390189,0.122114,0.42924,0.217731,0.267671,0.503124,0.99244
3,0.0441693,0.018258,0,0,3023,977,1141,0.740528,0.755667,0.725985,0.753898,0.327002,0.0259156,0.0128845,0,0,0.0099446,0.0099446,0.0099446,0.0910865,0.101001,0.0714774,0.0020662,0.117967,0.349325,0.188694,0.315795,0.544135,0.988316
4,0.0402808,0.0170973,0,0,3050,973,1114,0.745057,0.758085,0.732469,0.761147,0.306509,0.0260181,0.0131961,0,0,0.0099446,0.0099446,0.0099446,0.116267,0.126994,0.096949,0.00302658,0.138331,0.321531,0.196148,0.3363,0.576905,0.983505
5,0.0378107,0.016353,0,0,2889,783,1275,0.737367,0.786767,0.693804,0.729617,0.319148,0.0260538,0.0147439,0,0,0.00990166,0.00990166,0.00990166,0.094698,0.087546,0.102685,0.000112832,0.135521,0.421009,0.220075,0.336572,0.611316,0.971114
6,0.0365222,0.0158741,0,0,2963,798,1201,0.74778,0.787867,0.711575,0.747444,0.33291,0.0253656,0.0137456,0,0,0.00984667,0.00984667,0.00984667,0.0980537,0.0960536,0.097267,0.000403507,0.115283,0.342913,0.186953,0.320274,0.584264,0.981443
7,0.0352692,0.0154215,0,0,2810,755,1354,0.727106,0.788209,0.674794,0.720696,0.317381,0.0258987,0.0150464,0,0,0.00977975,0.00977975,0.00977975,0.10157,0.105301,0.0940875,0.000171657,0.149557,0.456107,0.23659,0.371885,0.614462,0.973883
8,0.0341785,0.0149389,0,0,2800,739,1364,0.726973,0.791145,0.67243,0.733079,0.313691,0.0259507,0.0148673,0,0,0.00970111,0.00970111,0.00970111,0.0997593,0.109134,0.0810043,0.00065611,0.137995,0.436552,0.225388,0.362997,0.585825,0.977992
9,0.0331666,0.0145732,0,0,2924,850,1240,0.736703,0.77476,0.702209,0.735087,0.314269,0.0259298,0.015455,0,0,0.00961095,0.00961095,0.00961095,0.0931407,0.0913009,0.0985631,5.80038e-05,0.134437,0.382163,0.208717,0.328427,0.579968,0.971783
10,0.0324659,0.0144378,0,0,2978,726,1186,0.756946,0.803897,0.715178,0.758127,0.329342,0.0258347,0.0140099,0,0,0.00950953,0.00950953,0.00950953,0.0837518,0.0856009,0.0824571,0.000126036,0.107167,0.335096,0.1763,0.328381,0.577677,0.971802
11,0.0318474,0.0141241,0,0,2942,797,1222,0.74456,0.786914,0.706532,0.734573,0.318216,0.0261448,0.0148826,0,0,0.00939711,0.00939711,0.00939711,0.109386,0.110955,0.0996448,0.000629162,0.116569,0.348895,0.190547,0.334423,0.580327,0.969759
12,0.0312356,0.0138749,0,0,2914,856,1250,0.734542,0.772904,0.699808,0.710505,0.303533,0.0262455,0.0164152,0,0,0.00927402,0.00927402,0.00927402,0.0921746,0.0997359,0.08373,0.00149999,0.11784,0.387541,0.205552,0.35566,0.568486,0.967609
13,0.0309307,0.0137063,0,0,2899,742,1265,0.742854,0.796204,0.696206,0.740323,0.324732,0.0256865,0.0148196,0,0,0.00914058,0.00914058,0.00914058,0.114067,0.124071,0.0958573,0.000166781,0.13988,0.365866,0.202829,0.376605,0.621849,0.967675
14,0.0303214,0.0136307,0,0,2927,804,1237,0.741417,0.784485,0.702833,0.729803,0.314081,0.0257999,0.015819,0,0,0.00899716,0.00899716,0.00899716,0.10072,0.103823,0.0942233,0.00278902,0.146036,0.378711,0.21415,0.310922,0.573366,0.9649
15,0.0297571,0.013478,0,0,2972,843,1192,0.744967,0.779034,0.713754,0.748135,0.324799,0.0258201,0.0148949,0,0,0.00884415,0.00884415,0.00884415,0.0933696,0.0996411,0.0820603,0.00208065,0.12423,0.347981,0.192938,0.282053,0.55219,0.973196
16,0.029463,0.0132881,0,0,2854,643,1310,0.745068,0.816127,0.685392,0.738852,0.329354,0.0257514,0.0156418,0,0,0.00868198,0.00868198,0.00868198,0.0878848,0.0877278,0.0884856,0.00210817,0.117906,0.343639,0.184712,0.308246,0.56522,0.968341
17,0.0288643,0.013027,0,0,2865,763,1299,0.735351,0.789685,0.688013,0.730238,0.322447,0.0258343,0.0158524,0,0,0.00851109,0.00851109,0.00851109,0.0880156,0.0872836,0.0883561,0.00104706,0.132954,0.422514,0.216466,0.330304,0.57747,0.971134
